college,classCode,Name,Description
COM,EM 737,The MArketplace v. Regulation,"Emerging Media and Communication Policy Social media and other forms of data creation and manipulation are posing  profound challenges to traditional legislative and regulatory arrangements.   Issues ranging from privacy to equal access, from spectrum allocation to market  concentration and from intellectual property to secrecy have become quite  contentious due to power of digital technologies.  Innovative services can  collect data in ways that can have poorly understood ramifications.  This course  surveys the laws and regulations that apply to emerging media and probes the  major policy issues in detail with a particular emphasis on the situation in the  U.S.     "
COM,EM 747,Trending Insights,"Social Data Analysis and Visualization This course familiarizes students with social -scientific methods for large  scale data analysis and visualization, including the application of relevant  user and concept networks, time and spatial models, sentiment mapping, and  comparison of matrices.  In addition, the use of germane software in emerging  and digital media research is developed.  Most importantly, however, this course  has a dual structure where students learn to not only carry our advanced  analyses of large datasets, they also engage with how to visually represent with  a wide-ranging skillset to scrape data, mine data, and present data in fields of  specific areas of inquiry.   "
COM,EM 761,Emergin Media Special Topics,"Selected issues in mobile communication and social media.  This course  investigates a series of emerging issues concerning the communication aspects of  mobile and social media technology.  Lectures by the instructor will be  supplemented by guest commentaries and discussion, field trips and the  presentation by students of their semester-long research projects.  There will  be extensive weekly reading assignments, weekly reaction papers and a term  paper.  The term paper is to be based on original inquiry and data collection.   Among the topics covered during the semester are public participation in  governmental policy via social media, the reception of new technology such as  Google Glass, personal privacy effects of big data, prospects for citizen  journalism, and the effects of mobile communication on social interaction.  By  the end of the semester, the student should have a firm grasp of selected issues  concerning mobile and social media from both a policy and behavioral  perspective.  Enrollment is by permission of instructor.  Students interested in  taking this course should contact Prof. Katz via email and include a brief  summarized their background and explain their interest in the topic.      "
COM,EM 777,Extended Group Project Wrork Seminar,"This year long course introduces students to the theories, method and  conventions of applied research in communication and the social sciences.  It  aims to do this through reading, practical applications and in-class  discussions.  Students will have the opportunity to work with local organization  (the ""project sponsor"") in the Boston area to design and implement a research  project.  Throughout the process, students will work closely with their peers,  the sponsor and the course instructors to develop the project and to evaluate  work in progress.    "
COM,FT 201,Screen Language,"The Aesthetics, Grammar and Rhetoric of the Moving Image This course is designed to help students communicate through audio, still images   and moving pictures.  We will study how films and photographs of various kinds   communicate ideas, tell stories, and convey artistic expression.  Students will   then be given many opportunities to demonstrate their own grasp of fundaments of   communication and storytelling through images, sounds and montage.  The aim of   this course is not simply to reinforce existing rules but rather to test the   validity of those norms.  Accordingly, students will be asked both to employ and   to violate conventions.     "
COM,FT 250,Understanding Film,"Understanding Film will introduce students to key aesthetic aspects of film.   Students will explore a range of styles and genres in film, including narrative  and non-fiction forms, and dominant and alternative styles.  Students will also  study a variety of historical examples of theses different styles that  illustrate the expressive possibilities of image and sound.  Finally, students  will learn to analyze and write about these formal elements, viewing both  complete films and individual sequences.      "
COM,FT 303,History of Television,"In this course we will examine the ways in which industrial factors and communication policies have shaped the medium that sits in 99% of U.S. homes.  We will begin by examining television's roots in radio.  The remainder of the course will be broken down into three stages of television history advanced by Rogers, Epstein and Reeves (2002). The first category is TVI- the period of three-network dominance.  The next stage, TVII, is characterized by the rise of cable television and the decentering of the three networks.  We will conclude the course by considering the current stage of television- TV III- in which the era of ""on demand"" has further destabilized traditional notions of content, audiences, producers, scheduling and technologies.  In addition to tracing this development historically and thematically, we will confront it critically, analyzing the connections between power and money in the medium of television.    "
COM,FT 304,Film Industry,"A survey of current business trends in the motion picture industry. Focuses on script development; studio structure; agents, attorneys, and contracts; independent filmmaking; and distribution.     "
COM,FT 201,Screen Language,"The Aesthetics, Grammar and Rhetoric of the Moving Image This course is designed to help students communicate through audio, still images   and moving pictures.  We will study how films and photographs of various kinds   communicate ideas, tell stories, and convey artistic expression.  Students will   then be given many opportunities to demonstrate their own grasp of fundaments of   communication and storytelling through images, sounds and montage.  The aim of   this course is not simply to reinforce existing rules but rather to test the   validity of those norms.  Accordingly, students will be asked both to employ and   to violate conventions.     "
COM,FT 250,Understanding Film,"Understanding Film will introduce students to key aesthetic aspects of film.   Students will explore a range of styles and genres in film, including narrative  and non-fiction forms, and dominant and alternative styles.  Students will also  study a variety of historical examples of theses different styles that  illustrate the expressive possibilities of image and sound.  Finally, students  will learn to analyze and write about these formal elements, viewing both  complete films and individual sequences.      "
COM,FT 303,History of Television,"In this course we will examine the ways in which industrial factors and communication policies have shaped the medium that sits in 99% of U.S. homes.  We will begin by examining television's roots in radio.  The remainder of the course will be broken down into three stages of television history advanced by Rogers, Epstein and Reeves (2002). The first category is TVI- the period of three-network dominance.  The next stage, TVII, is characterized by the rise of cable television and the decentering of the three networks.  We will conclude the course by considering the current stage of television- TV III- in which the era of ""on demand"" has further destabilized traditional notions of content, audiences, producers, scheduling and technologies.  In addition to tracing this development historically and thematically, we will confront it critically, analyzing the connections between power and money in the medium of television.    "
COM,FT 304,Film Industry,"A survey of current business trends in the motion picture industry. Focuses on script development; studio structure; agents, attorneys, and contracts; independent filmmaking; and distribution.     "
COM,FT 307,Media Evolution,"Cannot provide class description."
COM,FT 310,Storytelling for Film & Television,"Required of all undergraduate students in Film & Television.  An introduction to the art and craft of storytelling through the moving image.  Particular emphasis will be given to writing short scripts.  Topics covered include character development and narrative structure as it applies to shorts, features and episodic television.    "
COM,FT 325,Crtve Tv Produc,This course description is currently under construction.    
COM,FT 353,Production 1,This course description is currently under construction.    
COM,FT 401,Romantic Comedies and Melodramas,"This class will view and discuss romantic comedies and domestic melodramas made in  Hollywood in the 1930's and 1940's.  these films were some of the most popular and  culturally significant of their time, involving many of the era's best  screenwriters and directors and most prominent stars.  The films set standards for  dialogue writing, rich characterization, film performance and story structure.    "
COM,FT 402,Production II-Digital,"Continuation of the study of digital field production and postproduction editing. Students develop, produce, direct, shoot, record, and edit longer-form, single-camera, location productions. Emphasis on the development of storytelling in narrative and nonfiction production.     "
COM,FT 404,Asian Cinema,"Surveys important and influential films from India, Japan, mainland China, Hong Kong, Taiwan, and elsewhere in East Asia from the 1950s to the present, taking in the work of such directors as Satyajit Ray, Ozu, Mizoguchi, Kurosawa, Zhang Yimou, Tsai Ming-liang, and Wong Kar-wai. The course is designed to make students familiar with foundational styles of realism and fantasy in Asian film and with ways Asian films address changes and evolution in Asian culture and society. The course should help students understand certain traditions in Asian film, and prepare them to engage critically with the ever burgeoning, new, and compelling filmmaking that comes from this part of the world.     "
COM,FT 410,Seminar,"Television, Culture, and Society Using a seminar format and selected screenings, the course constructively explores topics that have given rise to public debate about television. Issues may change from semester to semester but include violence, sexuality, commercialism, stereotyping, children's programs, and specific controversial genres, such as cartoons, action/adventure, and news. Students contribute their own discussion papers and audiovisual materials.    "
COM,FT 411,Screenwriting II,"Writing the feature-length narrative film; creation of characters, narrative outline; writing the first draft of an original screenplay.     "
COM,FT 412,Screenwriting III,Writing an original (second) feature-length screenplay (a first draft and set of revisions required). Further study of dramatic structure tone and rhythm.   
COM,FT 456,Acting for Directors and Writers,"Develops the director's knowledge and understanding of actors --the ""human equipment"" of filmmaking--through direct acting experience. Students learn the language and tools of the craft through sensory exercises, improvisation, text analysis, and scene study.     "
COM,FT 457,American Masterworks,"Subjects vary with the instructor. Directors discussed include D. W. Griffith, Charlie Chaplin, Buster Keaton, King Vidor, Frank Borzage, Victor Fleming, Howard Hawks, Frank Capra, Alfred Hitchcock, John Ford, John Huston, Elia Kazan, George Cukor, Orson Welles, Robert Altman, John Cassavetes, and Woody Allen.     "
COM,FT 458,International Masterworks,"Subjects vary with the instructor. Directors discussed include Carl Dreyer, Satyajit Ray, Sergei Eisenstein, V. I. Pudovkin, Jean Renoir, Rene Clair, Andrzej Wajda, Jean-Luc Godard, Michelangelo Antonioni, Federico Fellini, Ingmar Bergman, Akira Kurosawa, Bernardo Bertolucci, and Luis BuêÑÔ±uel.     "
COM,FT 465,Hi-Def Production,"This course allows students to write, shoot, edit and complete a   short ""film"" entirely in the High Definition digital video format.    Students use state-of-the-art High Definition cameras and complete the post-production process in the new Ezratti HD Lab created for High Definition editing and screening.  The ""films"" are produced   using professional actors and are targeted for film festival entry.    A previous project from this class won the First Place prize at the 2009 Redstone Film Festival. 2nd Sem     "
COM,FT 468,Production III - Film,"Students apply to the class as director, producer, cinematographer, editor or sound designer. Directors submit scripts for consideration. The film production faculty then selects eight directors, based on the scripts and the student?s previous work. Faculty then selects the producers, cinematographers, editors and sound designers based on their work in FT 403, their ability to work as a team, and their performance in other related classes. The eight directors form production teams to make eight thesis-quality films. Maximum running time for each film is fifteen minutes.    "
COM,FT 491,Directed Studies,Individual projects; opportunity for advanced students who have completed a major portion of their degree requirements to engage in-depth tutorial study with specific faculty in an area not normally covered by regular curriculum offerings.     
COM,JO 516,Foreign Reporting," This course covers the practical, critical, and theoretical issues involved in reporting the world for domestic audiences. How can journalists best report on different cultures? How can they demystify ?the other? for their readers and viewers? How do you work with a ?fixer?? Manage your own trauma? Stay safe? How does 19th  Century colonialism still influence foreign coverage and how do you escape this influence? What?s to be learned from Conrad?s ?Heart of Darkness? about reporting on Africa? When is ?personalizing? the news a bad idea and when is a good time to do it? Students read outstanding examples of foreign reporting, workshop their stories, and learn how to be successful given the current standards for foreign reporting. However, in light of such challenges as globalization, global warming, ethnonational conflict, and the rise of China, the class also debates how to develop better norms in the future.  4 cr, either sem.    "
COM,JO 519,Narrative Radio,"Students will produce in depth, narrative audio stories similar to what is heard on public radio. They will use digital recorders and Protools audio software. Students will also produce slide shows using Soundslides. Most stories will air on WBUR and WTBU.     "
COM,JO 520,Advanced Production and Design,"This is a studio course where students learn to design for web and print. Students will design sample pages for two online/print magazines on topics of their own choosing in the categories of visual arts, music, and culture/issues/ideas. Students will design with and master Dreamweaver, QuarkXPress, Adobe Photoshop, and Adobe Illustrator. The aim of this course is to enhance communication through visual language. Typography and the use of images are explored as creative/innovative ideas are developed. All projects will be portfolio pieces. 4 cr,  either sem.    "
COM,JO 522,Professional Photo Portfolio,"A course preparing students for entry into a career in visual journalism. Weekly assignments are designed so that students build a portfolio allowing them to compete for opportunities in the professional world. Students will master critical skills including story development, use of multimedia, writing, and meeting deadlines. 4 cr., 2nd sem.    "
COM,JO 523,The Presidency and the Media,"Students follow the week-to-week interaction of the president and the media, while examining the evolution of relations between journalists and American presidents from FDR to Clinton.     "
COM,JO 524,Broadcast Sports Journalism,"Using the most effective and up-to-date technology, JO524 students produce a  weekly sports show ""SportsNight."" The emphasis will be on team work in producing,  writing, editing and presenting sports. Each week, you?ll be assigned a different  task and position to perform, an integral way to learn how a news/feature program  is produced. 4 cr, either sem.    "
COM,JO 525,Media Law and Ethics,"An examination of the many ethical issues and dilemmas that face reporters, editors, and producers and how to resolve them with professional integrity. Danger of actions for contempt or defamation, laws of copyright and intellectual property.     "
COM,JO 527,Art of Narrative Nonfiction,"An intensive seminar and workshop into techniques and strategies of narrative non-fiction reporting and writing. These would include interviewing for narrative, creating a workable structure for long-form writing, understanding the concept of arch of narrative, developing scenes and description and understanding  the elements of revision.   "
COM,JO 530,Drafts of History,"Journalism has been called ""the first rough draft of history."" We consider several  episodes from U.S. history and examine how the first drafts written by journalists  compare to subsequent drafts written by historians. We analyze how new evidence  and chronological distance alter understanding of important events. 4 cr., 1st  sem.    "
COM,JO 532,Sports Journalism Seminar Series,"Explore the issues that writers and broadcasters face as they pursue their careers in sports journalism. Each week, we invite working professionals to join us on campus discussing such topics as ethics, sports and its place in society, reporting, women in sports and how to find that first job. Students are expected to ask thoughtful questions and will be required to write an evaluation each week. A great opportunity to start the networking process. 4 cr, 1st sem.    "
COM,JO 533,The Essay,"This is a course about the conception, development, and expression of ideas through language. In the final analysis, the course puts front and center the process of thinking about such ideas and then persuading others of their importance and rectitude. Among the issues addressed are the logic and structure of arguments; the articulation of a ?stance?; development of the tone, style and elegance of writing; and the parrying of counterarguments even before they are stated. Students read and analyze a variety of essays on a number of subjects, including, film, domestic politics, cultural issues, war and peace, theatre and fine arts, sexual politics, human relationships, and the training of dogs. Among the authors whose work gets read are Susan Sontag, Simon Schama, Chuck Klosterman, Ellen Willis, Woody Allen, Nick Hornby, Garry Wills, Francis Fukuyama, Joan Didion, Hannah Arendt, Samuel Huntington, and Jean-Paul Sartre. 4 cr, either sem.     "
COM,JO 534,Broadcast News for Nonmajors,"Basic instruction in producing video news reports for television and/or the Internet designed for students who are not majoring in broadcast journalism. 4 cr, 2nd sem.        "
COM,JO 535,Investigative and Project Reporting,"Investigative and Project Reporting is an advanced seminar that will teach  select students the practice of depth reporting and writing. Students will use a  variety of reporting techniques ? from computer database searches to shoe  leather -- in pursuit of long-term projects ideally destined for publication in  one of several professional publications that have entered into cooperative  agreements with the Boston University Department of Journalism. Among them are  The Boston Globe, Boston Magazine and the Boston Phoenix. Story subjects will  range from public system failures to questionable convictions, narrative  reconstructions to explanatory journalism. 4 cr, 2nd sem     "
COM,JO 537,Digital Photography Fundamentals," Students plan, discuss, photograph, write, and lay out picture stories in black and white and/or color.    "
COM,JO 538,Feature Writing," Writing feature articles for newspapers, magazines and other media. Covers markets open to free-lance writers, published articles, newspaper feature sections, and Sunday supplements. Offered only in the summer, for undergraduates and graduate students.    "
COM,JO 542,the Literature of Journalism,"This course examines the works of prominent literary journalists, and explores   different voices and styles in the genre. The course also seeks to track the   evolution of nonfiction narrative in American journalism, starting with Mark Twain   and continuing to the present.      "
COM,JO 545,Reporting Military Affairs,"The role of the press in covering international conflicts, as well as the responsibilities of the press to cover military policies, procedures, and programs during peacetime.     "
COM,JO 546,Statehouse Program,"The prime component of The Boston Statehouse Program, this advanced study in government and political reporting offers the opportunity to write and report from Beacon Hill for a Massachusetts daily. The course goal is to develop writing and reporting skills through the daily experience of covering state government. Students acquire the skills necessary to work in a daily news environment, including interviewing, developing sources, archival research and deadline writing.    "
COM,JO 550,Advanced Online Journalism,"This course focuses on producing long-form, interactive multimedia news. Working in teams, print, broadcast and photojournalism students learn to produce documentary style multimedia packages that combine still photography, audio, video and text. The course will offer an overview of techniques and best practices currently employed by news organizations to produce advanced multimedia projects for the web. 4 cr, either sem.    "
COM,JO 702,Advanced Science Writing,"Students learn to research, organize, and write a major magazine article of publishable quality. Projects for the course, with appropriate revision, may be submitted in lieu of a separate master's project.     "
COM,FT 711,Screenwriting I,"Exclusively for screenwriting graduate students, an introduction to principles  of drama, screenplay structure characterization, screenplay description and  dialogue through lecture and discussion of produced screenplays.  Students begin  with exercises and then write outlines/treatments in preparation for completing  a first act (approximately 30 pages) and full treatment of an original feature  screenplay. Student work will be discussed in workshop format.    "
COM,FT 712,"Television, Culture, and Society","Issues of content, representation, regulation, effects, and ethics in television. Specific areas include children's programming, representation of women and ethnic groups, violence, educational, and prosocial aspects. Also covers methods of social inquiry, including students' own practical assignments.     "
COM,FT 713,Screenwriting II, Students compose a feature-length film and a set of revisions based upon the film outline created in COM FT 711. Further examples of dramatic structure are analyzed from the library of world cinema.    
COM,FT 716,Video Production II, Emphasizes longer-form television programs and stresses the role of the producer/director. Course includes both documentary and dramatic productions using both field and studio equipment and techniques.    
COM,FT 721,International Masterworks,"A selective survey of important films from outside the United States from the earlier twentieth century to the present.  Films will be selected to represent important stylistic movements in film history, such as Expressionism and Surrealism, and to represent diverse possibilities for what the medium of the feature theatrical film can accomplish.  The course will include work of such directors as Eisenstein, Murnau, Lang, Renoir, Rossellini, Mizoguchi, Bergman, Antonioni, BuêÑÔ±uel, Ray, Godard, SembêÑÔëne, Akerman, and Kiarostami.  The course will concentrate on analysis of individual films and will develop skills for shot-by-shot reading and critical writing.     "
COM,FT 722,American Masterworks,"Subjects vary with instructor. Directors include D.W.Griffith, Charlie Chaplin, Buster Keaton, King Vidor, Frank Borzage, Victor Fleming, Howard Hawks, Frank Capra, Alfred Hitchcock, John Ford, John Huston, Elia Kazan, George Cukor, Orson Welles, Robert Altman, John Cassavetes, and Woody Allen.    "
COM,FT 723,Amrcan Indepndt,"Cannot provide class description."
COM,FT 724,Screenwriting 3,"Cannot provide class description."
COM,FT 727,Creative Producing I,"An introductory course that takes the student through the various stages of production beginning with a concept and ending with a full-fledged, camera-ready proposal. Students are introduced to issues of finance, scheduling, and organization; they learn what a producer must do to keep budget and concept on track.     "
COM,FT 728,Creating New Ideas With Existing Content," Introduces students to the tools and techniques used to produce multi-platform content. Students learn multimedia concepts, elements,  and production to extend the brands of properties and to attract new audiences. Training in the use of computer-based hardware and software for multimedia creation. 4 cr. Fall/spring    "
COM,FT 729,Script Analysis,TK    
COM,FT 730,Screen Adaptation I," More than half of Oscar nominated films are literary adaptations.  This course analyses the current commercial and artistic reasons behind the surge in adaptations, touches upon adaptation theory, and studies novels and short stories that have been adapted for film.  Student's present papers on film adaptations and adapt a short story.    "
COM,FT 731,Screen Writing IV," In this fourth of the MFA screenwriting students' screenwriting workshop courses, students write a feature screenplay, write coverage on each other's work, and study films that shed light on their projects.      "
COM,FT 801,Avid Film Composer,fgsmdfjhsa fgjhsdg fkhshgdf    
COM,FT 808,Line Producing," Required of all Film Production graduate students, this course covers all aspects of what is sometimes called ""physical production--"" the logistics of making a media project. Topics covered include contracts, rights, negotiation strategies, working with and without unions, crew responsibilities, scheduling and budgeting. Students apply the lessons covered to actual projects that they take through the first phases of pre-production.    "
COM,FT 825,Thesis Project,Creation of an original work in any one of four areas producing; scriptwriting; directing/production; or a research paper. One-on-one advisor supervision throughout the entire process.   
COM,FT 849,Film Production I,"A practical, hands-on introduction to film production techniques. Lectures and demonstrations cover such topics as cinematography, studio and location lighting, sound recording, transferring, bench and flatbed editing, and sound mixing. Workshops and assignments coincide with lectures to give students practical experience and extensive hands-on training. Each student produces a short 16 mm film, which must be brought to the interlock stage (edited picture and separate mixed magnetic sound track) by the end of the semester.     "
COM,FT 850,Film Production II," Students master the equipment and techniques of synchronous sound filming. Using a range of professional sync cameras and Nagra tape recorders, students complete several shooting and editing assignments and, working in groups of three, write and produce a short dramatic film. Emphasis is placed on shooting coverage of scenes to allow for dramatic editing possibilities.     "
COM,FT 851,Thesis Preparation,"This course, required of second semester film production graduate students, explores the aesthetic and technical parameters of the short film format with the goal of celebrating the short form as a genre unto itself.  Students also develop and write their thesis scripts in preparation for thesis production the following year.    "
COM,FT 852,Thesis Project,Devoted to completion of thesis projects in film production and film studies.    
COM,FT 527,Lighting," An intensive combination of lecture, demonstration, and hands-on work in lighting. Film and video systems, from the camera to the transfer, are explained, explored, and used. Guest lecturers and field trips to production facilities and shooting locations are included. 4 cr, either sem.    "
COM,FT 529,Michael Haneke,"Cannot provide class description."
COM,FT 533,American Independent Film,"A survey of cinema from the past three decades originating outside of the studio system. Though the screening list changes from semester to semester, filmmakers to be dealt with include Elaine May, Barbara Loder, John Cassavetes, Robert Kramer, Mark Rappaport, and Charles Burnett, among others.     "
COM,FT 535,Film Analysis,"Focuses on a particular director (Godard, Hitchcock, Altman, Losey, Bergman, etc.), period, or style (film noir, suspense), and studies how meaning is structured and perceived in the screen image. Includes viewing and analysis of narrative strategies in selected films.     "
COM,FT 536,Film Theory and Criticism,"An introduction to classical and contemporary film and media theory.  Topics include montage theory, realism, structuralism, post-structuralism, semiotics, psychoanalysis, phenomenology, and cultural studies.  The course includes screenings of films that have contributed to critical debate and those that challenge theoretical presuppositions.    "
COM,FT 537,Third Wrld Cnma,"Cannot provide class description."
COM,FT 540,Screenplay as Dramatic Literature,"Screenplays may be read as literature as well as be produced as films. In this course the literary and dramatic art of the screenplay is analyzed, and the screenplay as a form is perceived to be nothing less than a little brother to stage play.    "
COM,FT 543,Television Situational Comedy,"The American television situation comedy has been an enormously popular and  powerful art form.  This course traces the growth of the sitcom genre from the  beginnings in the early 1950's up to the present time and analyzes how American  life has been influenced by it.  We look at how sitcoms affected popular  perception of working class, race, ethnicity, idealized family life and then the  growth of different family structures, fantasy and war.  We study how sitcoms  initially portrayed women and then the emerging changes in response to the  feminist movement.  We analyze Norman Lear's series which talked about the real  things Americans were saying but in the privacy of their homes and the  revolution that his series created.  Finally we examine anti-family satire and  take a close look at contemporary single life, both straight and gay.    "
COM,FT 544,Documentary Production," This course is designed to develop skills necessary for producing long-form  documentaries. There is an emphasis on exploring new, more engaging forms of  storytelling and a broad range of stylistic approaches.  It covers the entire  process finding a topic, developing a story structure, conceiving a style,  shooting, editing, and post-production.  Students develop their own ideas and  form small groups to produce them.    "
COM,FT 545,Television and Childhood,"Examines the important role played by television in child development and culture, with special reference to the provision and content of programming for children of different ages, from preschool to adolescence.     "
COM,FT 546,New German Cine,"Cannot provide class description."
COM,FT 547,HISTAVANTGARDE1,"Cannot provide class description."
COM,FT 548,Antionionibergm,"Cannot provide class description."
COM,FT 549,The Profane,"Explores a wide variety of topics concerning censorship, feminist theory, feminism, psychoanalytical theories, pornography, voyeurism, repression, homosexuality, rape, body image, and national identities as exemplified through a large selection of films considered ""Profane""/scandalous/ ""X-rated"", touching upon uncanny regions in which one is ""never at home"". Further discussion will include an examination of the cultural and historical factors that  serve as background for the themes explored and presented in the selected films.    "
COM,FT 550,Scandinavian Cinema,"This course traces the major discourses that have developed around the Dogme'95 movement. The major focus of this class is to study the work, vision, influences and contribution of Lars Von Trier to the New Scandinavian Cinema and its assorted practitioners. We will attempt to perceive and critique Von Trier's vision as a site for understanding cultural dynamics of European and American Societies. The course is organized chronologically to structure and present the development of both Trier's work and evolvement of the Dogme 95' movement. Some of the readings are assigned around those concerns.      "
COM,FT 551,Designing the Short Film," This course explores the aesthetic and technical parameters of the short film format, with the goal of celebrating Short Film, as a genre in and of itself. 4cr. either sem.    "
COM,FT 552,Special Topics,See the Department of Film and Televison for specifics.     
COM,FT 553,Special Topics, Topics and instructors vary each semester.  Details are available from the Department of Film and Television.  Recent offerings have included Writing Episodic Drama.    
COM,FT 554,Special Topics,"Details are available from the department of Film and Television. Topics and  instructor vary each semester. Recent topics have included the films of John  Cassavetes, Mike Leigh, and Rainer Fassbinder; the Blacklist; Low Brow Comedy.    "
COM,FT 555,The Narrative Documentary Practicum,"This practicum, designed for advanced film and television production students, focuses on the highly specialized filmmaking techniques used for the narrative documentary; that is, character-driven films about real people. The course also explores this tradition's rich legacy from the Russians of the 1920s, through the CV movement of the 1960s, and on to the present day host of new films spawned by digital filmmaking technology.      "
COM,CM 301,Principles and Practices of Public Relations,"An introduction to the field of public relations its theoretical origins, scope, and principles. Discussion focuses on researching problems, setting objectives, identifying audiences, designing messages, choosing communication channels, and evaluating results for all types of organizations. Ethical decision making, on-line communication, and career opportunities are also analyzed case studies in the field. The format is a combination of informal lecture and small-group discussion, case analysis, and guest lecture.    "
COM,CM 303,Organizational Structure and Behavior,"Principles and practices in organizing and directing work flow in light of current findings from sociology, psychology, and industrial management studies. Topics covered include leadership, motivation, goal attainment, and other concepts against a background of organizational theory.    "
COM,CM 311,Professional Presentation,"Students will learn the essentials of effective presentation, from preparation  (audience analysis, content development) to critical thinking when presenting.   This course is designed to help students to incorporate theories and skills of  effective communication in a variety of contests.  Using a combination of  lecture, discussion and hands-on practice and simulation, this course is  designed to place students in common business and social settings that require a  mastery of oral presentation skills in order to be successful.  This course will  also include instruction on the effective use of presentation software and  interactive technology.    "
COM,CM 313,Corporate Communication,"Explores the trends and issues affecting corporations, crisis management, public affairs communication, consumer affairs, employee relations, environmental problems, and issues of multinationals. Uses case studies.     "
COM,CM 317,Introduction to Advertising,"Explores the history, nature, function, and social and economic aspects of advertising ethical responsibilities, psychological appeals, marketing, media research, product analysis, creative strategies, and agency operation. Students prepare comprehensive advertising plans including marketing strategy and speculative advertising campaigns.    "
COM,CM 321,Mass Communication Research,"Introduction to the philosophy and process of social-scientific research and the most common methods used to study mass communication. Includes a variety of research methods, an examination of data-analysis procedures, and an analysis of mass communication issues.     "
COM,CM 323,Design and New Media,"Provides knowledge and practice for effective graphic design for all media.  Develops a foundation in design principles and software skills including Illustrator, Photoshop, and InDesign.  Students create projects demonstrating how graphic design is used to engage an audience and enhance comprehension of all forms of mass communication from traditional print to new media.  4 cr, either sem.    "
COM,CM 331,Writing for Communication,"Intensive exposure to some of the basic writing formats in communications news releases, letters, features, and profiles. Lead writing, editing, and techniques of interviewing. Extensive writing and rewriting. Develop basic writing skills for various audiences.    "
COM,CM 345,Public Relations in Nonprofit Settings,"Students examine the role of managed communication and marketing in public relations problems unique to health, education, and human and public service organizations. Analysis of organizational structure, publics, public relations and communication programs, and fund-raising practices of these agencies.     "
COM,CM 380,Theory and Process of Communication,"Focuses on the processes and consequences of both interpersonal and mass communication and how they differ. Discussions include the nature of verbal and nonverbal communication and the role of language in cognitive processing. Review of the factors that have shaped the nature of contemporary media, their content, and their audiences. Examines theories of the process and effects of mass communication and how these related to the goals and activities of professional communicators.     "
COM,CM 405,New & Traditional Media Strategies,"Examines media planning, buying, and sales as performed by advertising agencies, clients and the media.  Research sources providing data on media audiences and product usage are evaluated.  Examines contemporary trends in communications media and their effects on advertisers. 4 cr. either sem.    "
COM,CM 409,Persuasion and Public Opinion,"The theories, strategy, and techniques of persuasion as a means of shaping public opinion and attitudes. How individuals, business, government, and institutions craft messages and communicate through the press, entertainment media, advertising, and public relations. Ascertaining and understanding the beliefs, attitudes, and values of groups and society.     "
COM,CM 410,NSAC,"National Student Advertising Competition gives students the opportunity to participate in organizing and managing and executing a real world marketing communications program for a major brand. The class will represent BU in a national competition held in late spring.  2 cr, either sem.     "
COM,CM 411,Art Direction,"A course for students interested in pursuing a creative career as an art director. Through real-world assignments, creative critiques, lectures and case studies, students strengthen conceptual and visual decision-making skills required to create effecive advertising communication. This is a hands-on, idea driven course. Assignment work product will include ideas executed in a range of media as well as package design and corporate identity. Experience using the industry graphics software will be helpful. 4 cr. On Demand    "
COM,CM 412,Consumer Insight & Account Planning,"Explores how to arrive at consumer insights that lead to better advertising and promotion.  The course focuses on the set of skills necessary to create breakthrough advertising, including qualitative research, observation, interviewing skills, mapping, and presentation tools.  Students learn to write effective, creative briefs.  4 cr. 2nd sem    "
COM,CM 416,Strategic Brand Solutions,"Explores the impact of current advertising and marketing issues from business, economic, political, social, legal, and ethical perspectives. Modified case method, with lectures from experts on selected issues.     "
COM,CM 417,Fundamentals of Creative Development,"Focus is on the strategic creative process in advertising including concept development, copywriting, visualization, and design. Assignments require conceiving solutions to client marketing challenges across a range of media. Teaches foundations for development of effective advertising problem definition, strategic development, and conceptual idea generation through tangible executions. 4 cr. either semester   "
COM,CM 419,Advertising Management,"Administration of a complete advertising program. Case-study method used to explore the marketing mix, budgeting, medial strategy, planning, coordinating advertising with promotion, working with client or agency, and the social responsibility of advertisers.     "
COM,CM 420,Ad Lab,"Experience in student-run, full-service advertising agency. Students organize, manage, and perform all functions solicit business, perform market and consumer research, contact clients, write plans, create advertising campaigns, evaluate media, and prepare campaign evaluations for community-service agencies.    "
COM,CM 421,AdLab E-Board,"This course represents the management function of the student-run AdLab.   2 or 4 cr., either sem.    "
COM,CO 101,The World of Communication,"Introduces students to many fundamental principles of communication.  Students also learn about the intertwined nature of communication professions as they explore the major fields of study in communication.  Guest lectures from various industries inform students of potential future career paths. CO101 is required of all students in the College of Communication, including transfer students, IUT students, and DDP students. Students must receive a ""C"" or higher in CO101 in order to proceed further into COM.     "
COM,CO 102,Special Seminars,"COM 102 offers multiple sections each semester in a variety of student services, career services and technological topics. These ?added-value? seminars do not count toward graduation requirements, but do offer valuable insight and tools to be successful in your college career and beyond.    "
COM,CO 201,Introduction to Communication Writing,"The College of Communication's core undergraduate writing course. Students refresh their grammatical and stylistic skills and apply those skills to professional writing assignments. Prepares students to write with clarity, conciseness, precision, and accuracy for the communication fields.    "
COM,CO 401,Radio Station Practicum,"This is  a seminar for students interested in managing the student-run radio station, WTBU.  It is open to students who serve on the executive board of WTBU.  Students will manage all facets of the radio station including music programing, sportscasting, news reporting, promotions, underwriting, website management, and technical equipment.  Students will learn how to accomplish specific goals in improving the professionalism of the station and increasing the audience of WTBU.  varilbe credit/ either sem.    "
